Name	eaiQuoteID	type	uom	ccy	businessCalendar	lotSize	tenor	Commodity	limSymbol	limMultiplier	defaultPrecision	clearPortPrecision	expiryRule	exchange	volatilityID	indexLevel	forwardMarket	pricingRule	formula	rollbefore	promptness	bblPerMT
Unl V1 Colonial Pipeline (monthly)	226	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl V2 Colonial Pipeline (monthly)	227	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Gas Oil 0.2 CIF NWE Cargoes	228	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAAC00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
1% Fuel CIF Med Cargoes (High)	229	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	FuelOil	Some(PUAAJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(6.35)
Jet FOB NWE Cargoes	230	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	JetKero	Some(PJAAV00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
HEL Rheinschiene Barges USD	231	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	None	None                	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.45)
HSL Rheinschiene Barges USD	232	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	FuelOil	None	None                	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(6.35)
Gas Oil 0.005% FOB Tokyo Barges (RIM)	233	PublishedIndex	kl                  	JPY                 	RIM	None                	Day                 	GasOil	Some(RIM_RPG52JPA)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Naphtha CIF Med Cargoes (Platts)	234	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Naphtha	Some(PAAAH00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
Naphtha FOB AG Cargoes (Platts)	235	PublishedIndex	MT                  	USD                 	PLD	None                	Day                 	Naphtha	Some(PAAAA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
Naphtha FOB Rotterdam Barges (Platts)	236	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Naphtha	Some(PAAAM00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
Naphtha USGC Waterborne (Platts)	237	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Naphtha	Some(PAAAC00)	Some(0.01)          	Some(4)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
Reg Unl CARB LA Pipeline (Platts)	238	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PPASR00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Super Prem Unl USGC Pipeline (Platts)	239	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAJB00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Mid Unl USGC Pipeline (Platts)	240	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAAY00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl LA Pipeline (Platts)	241	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGACY00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl San Francisco Pipeline (Platts)	242	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGABO00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB LA Pipeline (Platts)	243	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PPASS00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Jet San Francisco Pipeline (Platts)	244	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	JetKero	Some(PJABC00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Gas Oil FOB AG Cargoes (Platts)	245	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(POAAT00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 CARB San Francisco Pipeline (Platts)	246	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAAL00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 LS LA Pipeline (Platts)	247	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAET00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 LS San Francisco Pipeline (Platts)	248	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAEY00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 LS LA Pipeline (OPIS)	249	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(LA2.LS)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 CARB LA Pipeline (OPIS)	250	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(LA.2CARB)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 LS San Francisco Pipeline (OPIS)	251	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(SF2.LS)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 CARB San Francisco Pipeline (OPIS)	252	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(SF.2CARB)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Jet LA Pipeline (OPIS)	253	PublishedIndex	gal                 	USD                 	OPI	Some(42000.0)       	Day                 	JetKero	Some(LA.JETLAX)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Jet San Francisco Pipeline (OPIS)	254	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	JetKero	Some(SF.JET54)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Reg Unl CARB 2% LA Pipeline (OPIS)	255	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(LA.U.CARFG2)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl CARB San Francisco Pipeline (OPIS)	256	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(SF.U.CARFG)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
WTI P-5 Posting (Platts)	257	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	Crude	Some(AAFEN00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Index	NULL	NULL	NULL	NULL	NULL	Some(7.6)
WTI Midland Crude 1st month (Platts)	258	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	Crude	Some(PCACJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.6)
Propane TET (Platts)	259	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Propane	Some(PMABQ00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Natural Gasoline Dynegy Pipeline (Platts)	260	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PMABW05)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
Gas Oil EN590 FOB Med Cargoes (Platts)	261	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PPAQB00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Gas Oil EN590 CIF Med Cargoes (Platts)	262	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PPAQD00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Gas Oil EN590 FOB NWE Cargoes (Platts)	263	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PPAQF00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Prem Unl CIF NWE Cargoes (Platts)	264	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAIJJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl CIF NWE Cargoes (Platts)	265	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAIJN00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl FOB NWE Cargoes (Platts)	266	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAIJL00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Gas Oil 0.2 FOB NWE Cargoes (Platts)	267	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAAD00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil EN590 FOB Rotterdam Barges (Platts)	268	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAFI00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Reg Unl FOB Rotterdam Barges (Platts)	269	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAKOF00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
No.6 3.0% NYH Cargoes (Platts)	270	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	FuelOil	Some(PUAAX00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 2.2% NYH Cargoes (Platts)	271	PublishedIndex	bbl                 	USD                 	PLH	Some(1000.0)        	Day                 	FuelOil	Some(PUAAU00)	Some(1.0)           	Some(3)             	Some(3)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.4)
Mid Unl NYH Cargoes (Platts)	272	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAAI00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Butane TET Pipeline (Platts)	273	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Butane	Some(PMABR00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(10.78571429)
Super Prem Unl NYH Cargoes (Platts)	274	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAAS00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
FO 180 CST 2% Singapore FOB Cargoes (Platts)	275	PublishedIndex	MT                  	USD                 	PLD	None                	Day                 	FuelOil	Some(PUAXS00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.5)
Super Prem Unl USGC Waterborne (Platts)	276	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAIX00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Mid Unl USGC Waterborne (Platts)	277	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAAZ00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
No.2 NYH Cargoes (Platts)	278	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAEH00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.6 0.7% NYH Cargoes (Platts)	279	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	FuelOil	Some(PUAAH00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 2.2% NYH Waterborne (Argus)	280	PublishedIndex	bbl                 	USD                 	ARG	None                	Day                 	FuelOil	Some(GPF9NYDC)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.4)
Reg Unl LA Pipeline (Argus)	281	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPGRLASP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl LA Pipeline (Argus)	282	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPGULASP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Diesel EPA LA Pipeline (Argus)	283	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	GasOil	Some(GPDZLASP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Diesel EPA San Francisco Pipeline (Argus)	284	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	GasOil	Some(GPDZSFSP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Diesel CARB LA Pipeline (Argus)	285	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	GasOil	Some(GPD6LASP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Diesel CARB San Francisco Pipeline (Argus)	286	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	GasOil	Some(GPD6SFSP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Reg Unl CARB LA Pipeline (Argus)	287	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPUJLALP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl CARB San Francisco Pipeline (Argus)	288	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPUJSF!P)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB LA Pipeline (Argus)	289	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPUKLALP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB San Francisco Pipeline (Argus)	290	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	Gasoline	Some(GPUKSF!P)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Jet LA Pipeline (Argus)	291	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	JetKero	Some(GPJKLASP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Jet San Francisco Pipeline (Argus)	292	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	JetKero	Some(GPJKSFSP)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
No.6 3.0% NYH Waterborne (Argus)	293	PublishedIndex	bbl                 	USD                 	ARG	None                	Day                 	FuelOil	Some(GPFFNYDC)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 1.0% NYH Barges (Argus)	294	PublishedIndex	bbl                 	USD                 	ARG	None                	Day                 	FuelOil	Some(GPF5NYSB)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 1.0% NYH Waterborne (Argus)	295	PublishedIndex	bbl                 	USD                 	ARG	None                	Day                 	FuelOil	Some(GPF5NYDC)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
Unl 95 Singapore Cargoes (Platts)	296	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Gasoline	Some(PGAEZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 97 Singapore Cargoes (Platts)	297	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Gasoline	Some(PGAMS00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 98 FOB Rotterdam Barges (Platts)	298	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAKOD00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.35)
Unl 92 CFR Australia Cargoes (Platts)	299	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Gasoline	Some(AACZF00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 95 CFR Australia Cargoes (Platts)	300	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Gasoline	Some(AACZH00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl CARB San Francisco Pipeline (Platts)	301	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PPASO00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl San Francisco Pipeline (Platts)	302	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGADG00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl LA Pipeline (Platts)	303	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGABG00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB San Francisco Pipeline (Platts)	304	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PPASP00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
No.2 CARB LA Pipeline (Platts)	306	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAAK00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Urals CIF Rotterdam Cargoes 1st Month (Platts)	307	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(PCAFW00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.284)
Propane Non-TET Pipeline (Platts)	309	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Propane	Some(PMAAY00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
MTBE USGC Waterborne (Platts)	310	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PHAKY00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB 2% San Francisco Pipeline (OPIS)	311	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(SF.PRE.CARFG2)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Jet FOB AG Cargoes (Platts)	312	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	JetKero	Some(PJAAA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Prem Unl CARB 2% LA Pipeline (OPIS)	314	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(LA.PRE.CARFG2)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl CARB San Francisco Pipeline (OPIS)	315	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(SF.PRE.CARFG)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Reg Unl CARB 2% San Francisco Pipeline (OPIS)	316	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(SF.U.CARFG2)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Platts Brent 1st Month	317	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(PCAAP00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.57)
Super Prem Unl RFG USGC Waterborne (Platts)	318	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAJF00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
HSFO 180 CST FOB AG Cargoes (6.5) (Platts)	321	PublishedIndex	MT                  	USD                 	PLD	None                	Day                 	FuelOil	Some(PUABE00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.5)
Gas Oil 0.5% L/P Singapore Cargoes (Platts)	322	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(POADZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Natural Gasoline Non-TET Pipeline (OPIS)	323	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(MBEL.NTET.NGAS)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
MTBE LA Pipeline (OPIS)	324	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	Some(LA.MTBE)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
MTBE Houston Pipeline (OPIS)	325	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
MTBE NYH Cargoes (OPIS)	326	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
MTBE NYH Cargoes (Platts)	327	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PHAVT00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Gas Oil 0.05% Singapore Cargoes (Platts)	328	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(AAFEX00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Brass River Crude 1st month (Platts)	329	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(AAEJB00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.8)
Escravos Crude 1st month (Platts)	330	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(AAEIZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.47)
Cabinda Crude 1st month (Platts)	331	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(PCAFD00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.31)
